tweet_text,month_of_tweet
Raising even more awareness for breast cancer. How do you ninjaforacure #AmericanNinjaWarrior…,3
"Rehab, Day 1. 173.80 pounds, light chest and triceps lift. Felt decent. So far cancer is my…",3
"Cancer! Them's fighting words!! The new ""fighting hair"" style. After Photo #breastcancer…",3
"Cancer! Them's fighting words!! The new ""fighting hair"" style. After Photo #breastcancer…",3
"#singer #bloomingdales #paulmcdonald #fight #cancer #NIKKIREED @ New York, New York",3
Fuck cancer. #CycleForSurvival #Spin #BeatCancer #EquinoxMadeMeDoIt @ Equinox West 50th Street,3
Helping out today at the American Cancer Society Relay for Life of Greater Norwood! The Norwood…,3
so proud of my guy for raising $830 for childhood cancer research in only 5 days & braving the…,3
"#Rays We've got pictures: Rays shave heads for Pediatric Cancer, beat Yankees 2-1. #SportsRoadhouse",3
Colorectal Cancer. Preventable. Treatable. Beatable. Learn more at…,3
Diabetes And Mouth Cancer im gonna be dead by the age of 25 if i dont lay off this shit haha…,3
could u dedicated ur #FightSong 2nite to this lil man Dorian he passed away last Tues from cancer! pic.twitter.com/JCOqD8eWW1,3
Come join us today as we help fight Kidney Cancer I'll be serving up music 4:30-7pm…,3
Last night was a great first show of Dance Against Cancer. I'm so thankful that I'm a part of…,3
"Miss Tampa Bay Teen, Morgan Boykin & Todd David Tampa Bay jazz-pop guitarist at Safety Harbor Children's Cancer ... …",3
10.5 years with these dreads and off they come for the fight against childhood cancer. You the…,3
Together we are so strong! #cycleforsurvival #equinox #nyc #cancer #fundraiser #raiseawareness…,3
Two years ago my gma was diagnosed w breast cancer. Now she's doing great and beat cancers butt!!!!! God's great! pic.twitter.com/GxC1jxtOv4,3
"This is my incredible husband riding right now for Cycle for Survival, raising money for cancer…",3
5k to fight against children's cancer @ Grand Canyon University …,3
The National Building Museum at Prevent Cancer Gala #cancer #preventionpic.twitter.com/ErPB6iYFcO,3
"Mom got me a cool jacket for breast cancer awareness #tymom @ Milwaukee, Wisconsin",3
Ride On! $28 million race so far this year cycle4survival going directly to rare cancer research…,3
"Jeff, our CEO, just raised over $1,000--$550 in the last 5 minutes--to fight childhood cancers.…",3
Here at the childhood cancer event for shaving heads! We are doing Glam WARS on…,3
"Wow. "" Honestly, never imagined I'd ever be saying this but I'd love Costa to have a career ending injury. Cancer on the game.""",3
"Upcoming: Laughing at Cancer (@ Pointless Brewery & Theatre in Ann Arbor, MI) pic.twitter.com/LYJ8dmte1z",3
"Shawn Martin, who is fighting colon cancer, makes the first pitch of the Strike Out Cancer game!…",3
PANCREATIC CANCER KILLS! ONLY 6% SURVIVE! WE SEND OUR CONDOLENCES 2 fam_holm ON THE PASSING OF…,3
My fav person to sweat AND help fight cancer with @ Equinox… …,3
Setting up to shave heads today with our partners from fresh.salon to beat childhood cancers…,3
11th Annual Colon Cancer scope run in honor of my fabulous grandma!… …,3
"Going ""Over The Edge"" for cancer. Great job, Chris Lloyd. #gildasclub #ftlauderdale #RickyKeefe…",3
"Cycle for survival with Sloan Kettering Cancer (at Sports Club Upper East Side in New York, NY)",3
Happy to be a sponsor for the #OMHSColorRun for Cancer #coffee #community #Goom #omhs o_m_h_s…,3
•*•*•CANCER CHANGES PEOPLE•*•*•... #CancerChangesPeople #Cancer #StupidCancer…,3
Fight #cancer! #YSCSummit16 @ Sheraton Atlanta Hotel - Downtown,3
"Help our friend Zack ""Tap Out Cancer."" Like and share this picture, leave an encouraging message…",3
Morning! Feels so good outside. @ Sands Ocean Club,3
"Dancing because Lower Dauphin raised $102,589.16 for childhood cancer! Sad I couldn't be…",3
