tweet_text,month_of_tweet
Colombia battles world’s biggest drugmaker over cancer drug #MGWV #TFB #F4F,5
"May is skin cancer awareness month. Cover up, wear sunscreen, and protect your skin! #skincancer…",5
Just posted a photo @ Hospital Do Cancer Infanti-Juvenil De Barretos,5
Bevacizumab approved to treat cervical cancer for use on NHS in Scotland - BBC News - …,5
"BRN - Brazil Approves US Cannabis Product RSHO as Imported Medication to Treat Cancer: Medical Marijuana, Inc. has…",5
Before the,5
When u start a new friendship,4
Venezuela is fighting an art auction to assist an artist to travel to the US for cancer…,4
"When #SusanSontag was facing cancer, she said sick people should not feel guilty or ashamed for…",4
#signo #cancer #canceriano #Life #Good #BomDiaPraNois #ironicoEu kkkk @ Thug&keeh House,2
#Doação de #Plaquetas @ A.C.Camargo Cancer Center …,2
Translating: cure for cancer is on elephants DNA. …,2
"My heart cries of sadness at the news of cancer Bret ""The Hitman"" Hart Wrestling legend #HallofFame2006pic.twitter.com/heF8fc6dik",2
#signo #cancer #canceriano #Life #Good #nice @ Thug&keeh House,1
I'm at instituto cancer joel magalhaes,1
mt legal ser cancer,1
“ We're getting closer to fluorescence detection for tumor removal pic.twitter.com/CG2FnyOwPX”#health #cancer,1
Sando South Cancer Fete @ San Fernando Hill,1
South Cancer @ San Fernando Hill,1
slowly the cancer wins the cigarettes probably let it in...,1
and the cancer,1
@ Hospital do Cancer,1
Noooo Liz has cancer #AHSHotel... That's the moment when I start to cry ����,1
“ This wearable chip can detect #cancer and HIV … pic.twitter.com/wD7ixyUa1D”#health,1
she had breast cancer...,1
""" in Parsley Can Stop Breast Cancer Cells From Growing pic.twitter.com/qrjnu5RmZo""",8
#Cancer's have a sixth sense about knowing when they're right. It usually works out the way they said it would.,7
IF IT'S NEVER OKAY TO HIT A WOMAN WHO LOVES FOOTBALL AND HE DONT WATCH YOUR STORY GRADUALLY TODAY BUT YOU'RE TOO MORE FOR CANCER—AMP FOLLOW,7
son un cancer no las invites a rankear(?,7
Equipe show de luz! #olivonetes #olivonleite #sempreconceito #cancer… …,7
MENOPAUSE REVERSAL RESTORES PERIODS AND PRODUCES FEILE EGGS—GET YOUR DREAM JOB AS A FOUR LEAF CLOVER TODAY AND YOU WON MORE FOR CANCER—A…,7
cancer,7
SIGNS OF OVARIAN CANCER—AFE JULY 13 2016 AT 02 41AM #—S C—#HAPPYBIHDAYSIMONE #SPFC #HAPPYBIHDAYSIMONE #SPFC—LOTS OF GOOD INTENTIONS HOW,7
"Legalize war Cancer @ Panama City, Panama",7
CAN YOUR HOURS BE ME VIA VALLEN—THE SIGNS AS FIREWORKS CANCER—WHEN YOU BUY IT NOW BUY 10 000 FOLLOWERS F0R $39 G AT—ABOION—HAPPY 4TH OF J…,7
NO NEED FOR JBH #VERANOMTV2016 5 SECONDS OF SUMMER HEMMINGS—HOPE YOU ENJOY THE FREEDOM OF BEING AWAY FROM STAGE 4 LIVER CANCER WE TRIED EVE…,7
q cancer,7
#doesangue #compartilheessaideia #salvevidas @ A.C.Camargo Cancer Center,7
Shut the fuck up!!!!!!!! & take muy MONEYYYYYYY lol =D @ Barrio… …,6
Took care of my boss when he had pancreatic cancer. Was literally fired over his dead body when he died. #HowIGotFired,6
I'M GOING OUT STAGE 3 OVARIAN CANCER AND CHASED HER DREAMS AT JUST 16 YEARS OLD JADEN SMITH ANNOUNCES THAT HE IS SEEKING A PLEA DEAL IN DOM…,6
cancer,6
GIBRALTAR VOTES—LOCAL RESULT BELFAST—#CANCER #ZODIACPEOPLE A CANCER MAN WILL OFTEN HAVE MOOD SWINGS ARE NOT RACISTS BUT YOU ALREADY KNOW I…,6
GT LT LT LT? NOW THIS IS BEAUTIFUL SHE SURVIVED STAGE 3 OVARIAN CANCER AND CHASED HER DREAMS AT JUST 16 WHEN SHE HITS YOU WITH THE MOST POP…,6
SO I'VE. IM LAUGHING. GREAT DAY AT WORK YET THE PLANETS A MORE FOR TAURUS? LISTEN TO THE DRAWING BOA MORE FOR CANCER. THROW IN A WHILE AND.,6
Just finished my 1st private retreat of the summer specifically for cancer healing at…,6
"Cancer did it again, and took you from us. My heart is so sad. I remember the amazing training…",6
"""Fools"" said I, ""you do not know. Silence like a cancer grows. Hear my words that I might…",6
No cancer here thank you very much. #GraciousLivingOasis #PrivateRetreat #cancerhealing…,6
"This morning's ""I love my body"" CANCER HEALING smoothie. #GraciousLivingOasis #Sunwarrior…",6
This morning's loving CANCER HEALING smoothie. #GraciousLivingOasis #Sunwarrior #rawcacao…,6
Buenas Dias cancer healing fresh juice. #GraciousLivingOasis #PrivateRetreat…,6
"Yall, CR is not having this cancer shit. Bitch, if u smoke then you gon get the cancer and lose yo teeth. pic.twitter.com/7bWjE9njzl",6
What an honor to help turning this pediatric department of the Cancer Institute #inca of…,6
Tell them we reach!!! #gemini #cancer @ Golf Course,6
#Cancer's are really moody,1
Recauchutagem. @ A.C.Camargo Cancer Center,1
#Cancer's are picky. Know your lucky if you were chosen by a Cancer.,1
#Cancer's are observant. They watch how you treat others and based that they choose how close they let themselves get to you.,1
"Excelente! "" This smartphone accessory can diagnose cancer pic.twitter.com/ckJn5kURG5""",1
: Cancer patient thanks Obama and the ACA for saving his life.,1
"Cancer patient thanks Obama and the ACA for saving his life, right to Paul Ryan's face. #SaveACA",1
Mammograms lead to unneeded treatment for some breast cancers via,1
The Awareness is real in these streets because I wear it! Cervical Cancer is #Preventable yet…,1
#Repost teamcurecancer with ・・・ • THIS is childhood cancer. We reached out to parents…,1
"...but trump is not a doctor, has no idea how to cure cáncer... he likes dictators and manipulators",5
São Paulo | Amy Schumer's New Movie Was So Bad I Got Cancer: At first Hawn doesn't want to go because she thinks…,5
Poster presentation - AACR International Conference: Translational Cancer Medicine #bomdia…,5
Translational Cancer Medicine - AACR International Conference …,5
cancer's got nothing on @ Love …,5
"Shredding obsolete stereotypes about aging, cancer treatment and sexual attraction: rise above…",4
Warming up #ridefortheroses Bonaire with #rftrnl #caribbean #cancer…,4
CONGRESSO NEXT FRONTIERS TO CURE CANCER 2017 #ACCAMARGO… …,4
