tweet_text,month_of_tweet
Twining with our #chemocurls. Met this little lady on YouTube who was battling Lymphoma at the…,12
"My little man, Landry, turned FOUR yesterday! I was raising money for Leukemia and Lymphoma for…",11
"""Leukemia & Lymphoma Society FUNdraising Event! #paintpartymiami #paintpartystudio…",4
"""Leukemia & Lymphoma Society FUNdraising Event""! #paintpartymiami #paintpartystudio…",4
Join us for this FUNdraising event on Thursday 4/7 at 8:00 pm to benefit the Leukemia & Lymphoma…,3
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers",7
"AIDS N : Don't deny HIV patents lymphoma treatment, say US researchers: HIV patients with lymphoma should be…",7
Come support the LEukemia & Lymphoma Society and network with locals… …,5
AIDS N : A new standard for HIV-associated lymphoma,8
AIDS N : A new standard for HIV-associated lymphoma: People with HIV-associated lymphoma can be treated effectively…,8
AIDS N : A new standard for HIV-associated lymphoma,8
"AIDS N : Higher CD4 Counts, Lower RNA Values Linked With Higher NHL, Sarcoma Incidence: Non-Hodgkin lymphoma and…",8
In bed crying insurance company won't cover pet scans for lymphoma and sarcoidosis (@ my secret hideout),2
"My new parking lot lymphoma sarcoiidosis (@ West Boca Medical Center in Boca Raton, FL)",4
Leukemia & Lymphoma Society Man & Woman of the Year kick-off event!,3
So honored to be nominated as a National All Star in the 2017 Leukemia & Lymphoma Society’s Man…,3
"The Leukemia Lymphoma Society - Polo For a Purpose Event in Wellington, FL. With Brandon…",1
"With Sylvia, a survivor who battled lymphoma and is now in remission. She helps others newly…",1
Polo for purpose Leukemia & Lymphoma #polo #polosolidario #solidaridad #accion @ International…,1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV: Poor overall survival rates…",1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV",1
"AIDS N : Hodgkin's lymphoma therapy, survival disparities seen in patients with HIV",1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma,1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma,1
AIDS N : Treatment Disparity Identified in HIV-positive Black Patients With Hodgkin Lymphoma: Black patients with…,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US,1
AIDS N : Black Hodgkin Lymphoma Patients with HIV Less Likely to Receive Treatment in US: Brown University research…,1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University: IMAGE: Black people make…",1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University",1
"AIDS N : Racial disparity lies at intersection of HIV, Hodgkin lymphoma Brown University",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma",1
"AIDS N : Disparity lies at intersection of HIV, Hodgkin lymphoma: Black people make up an increasingly large share…",1
Father's Day 5K to Benefit the Leukemia and Lymphoma Society. It's gonna be a slow run!…,6
"AIDS N : AHCT Safe, Effective Option for Patients With HIV-Associated Lymphoma",6
"AIDS N : AHCT Safe, Effective Option for Patients With HIV-Associated Lymphoma: “The availability of effective…",6
"AIDS N : AHCT Safe, Effective Option for Patients With HIV-Associated Lymphoma",6
AIDS N : Stem Cell Transplant Can Help HIV Patients Battling Lymphoma: Study,6
"AIDS N : Stem Cell Transplant Can Help HIV Patients Battling Lymphoma: Study: WEDNESDAY, June 15, 2016 (HealthDay…",6
AIDS N : Stem Cell Transplant Can Help HIV Patients Battling Lymphoma: Study,6
AIDS N : Standard lymphoma treatment for HIV-positive patients might be an option after all,6
AIDS N : Standard lymphoma treatment for HIV-positive patients might be an option after all: Patients with…,6
AIDS N : Standard lymphoma treatment for HIV-positive patients might be an option after all,6
AIDS N : This Can Help HIV Patients Battling Lymphoma,6
"AIDS N : This Can Help HIV Patients Battling Lymphoma: WEDNESDAY, June 15, 2016 (HealthDay News) -- People living…",6
AIDS N : This Can Help HIV Patients Battling Lymphoma,6
AIDS N : Study: Autologous stem cell transplant should be standard care for HIV-associated lymphoma: According to…,6
AIDS N : Study: Autologous stem cell transplant should be standard care for HIV-associated lymphoma,6
AIDS N : Study: Autologous stem cell transplant should be standard care for HIV-associated lymphoma,6
"January 15th,2018 is Polo For A Purpose benefiting the Leukemia and Lymphoma Society. Limited…",12
"Coach Val, Justine and me. Father's Day 5K to benefit the Leukemia and Lymphoma Society #5k…",6
These beauties along some brooches are off to charity benefit for Leukemia and Lymphoma patients…,6
"#Repost with repostapp ・・・ Join the Leukemia & Lymphoma Society on Friday, November…",11
AIDS : Expression of HIV-1 matrix protein p17 and association with B-cell lymphoma in HIV-1 transgenic ...: Of the…,11
