tweet_text,month_of_tweet
New study links Splenda to leukemia …,3
Who wants to hear some AWESOME news?!? Young Moises has had Leukemia in a head lock...fighting…,4
Army vet diagnosed with leukemia unable to get VA to cover treatment at hospital of his choice. WPLG Local 10 News… …,6
We are heartbroken to share that our friend Sebastian has relapsed leukemia for the second time.…,12
"So happy to help this young girl, who's battling leukemia, get her free wig thru the American…",9
"Are you a bone marrow match for baby Alex, son of a Miami-Dade Police officer battling Leukemia. Today till 4:30P…",9
Firefighters make Leukemia pediatric patient's dream come true …,8
AIDS N : Heterogeneous loss of HIV transcription and proviral DNA from 8E5/LAV lymphoblastic leukemia ...,8
AIDS N : Heterogeneous loss of HIV transcription and proviral DNA from 8E5/LAV lymphoblastic leukemia ...: 8E5/LAV…,8
AIDS N : Heterogeneous loss of HIV transcription and proviral DNA from 8E5/LAV lymphoblastic leukemia ...,8
AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—SPOTTED ON THE PM OF JAPAN AMP THEN ASK YOURSELF WHOSE AMERICA DO U HAVE TO CLOSE YOUR EYES AND,9
Come support the LEukemia & Lymphoma Society and network with locals… …,5
Today is a very happy day. This is the 7 year anniversary of Lilly ending her Leukemia…,12
Light The Night #leukemiaandlymphomasociety @ Leukemia &… …,10
"Hadlee was diagnosed with Leukemia and is currently in treatment. Please send her your support,…",9
Leukemia Feather Ribbon tattoo on stonerrichie by NeedleZ FOLLOW: tattoo by…,9
"This sucks. charliemurphyig has left this world due to the battle of leukemia, but you've left…",4
We are devastated to share the news that after a long battle with Leukemia our dearest friend…,3
