tweet_text,month_of_tweet
AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard,5
"AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard: ""Gay men are not safe from HIV in…",5
AIDS N : Melanoma Cure? Zika Most Frightening; Opioid Education: What We Heard,5
Melanoma is a tumor characteristic of horses and mares moro color so it is suggested that these…,3
Having surgery for melanoma tomorrow. My mom always reminded me there's someone worse off than… …,12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015: (ABC NEWS) -- The opioid…",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
"AIDS : Heroin overdoses killed more people in US than HIV, melanoma or firearms in 2015",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015: The opioid epidemic…",12
"AIDS : Heroin Overdoses Killed More People in US Than HIV, Melanoma or Firearms in 2015",12
"#TBT Vacay2017 - drink thieving , melanoma scares . #insidejoke #aruba #orangutan…",6
"Both of these lesions are examples of patients of mine who I diagnosed with #melanoma, one of…",5
Best Way to Beat Melanoma is to Know the Symptoms … vía,5
"#skincancer awareness month #mostcommoncancer #melanoma, this client comes to get sprayed…",5
