tweet_text,month_of_tweet
Letting go or finishing something big as the year comes to a close with the full moon in Cancer…,12
"Good read for a beach day!• Estrogen metabolism, Epigenetics and Breast Cancer• #science…",12
Thanks God for my health...#cancer#survivor#thankful en Parque… …,12
We found my moms plaque at the hospital. @ Miami Cancer Institute,12
"December 26 at 10:00 am From kids, to kids... YES will visit the Cancer Institute to gift health…",12
"When I first heard cancer announcement? I scoffed. Speaking with skyhook later,…",12
"Some of the massage benefits include relief from anxiety, diabetes, cancer, heart problems,…",12
Annual Children’s Cancer Caring Center Holiday party… …,12
In developed countries 9 out 10 children with cancer will survive. In Colombia only 40 percent…,12
We are Cancer Fighters! #RideDCCVIII #TackleCancer #Cycling @ Zoo Miami,12
Cancer vs gemeos,12
CANCER LINK - What a great lunch it was. The girls did an amazing… …,12
Met a 7 year old girl today who is battling cancer for the 2nd time but has the most beautiful…,12
This week's guest shares how her cancer was a driver to become a Zumba teacher. Check it out on…,12
"The goal is to grow awareness by embracing my hair which many cancer patients lose, and…",12
"#graduationday #graduation #lawyer #USAC #CUNIZAB My mom, a #cancer and #stroke survivor, was…",12
"Dara doing her thing sharing her passion for ""crushing cancer""!! Check out her book on…",11
Come join us at SAKs 5th Avenue at the Brickell City Centre to support the Dolphins Cancer…,11
Dara is the author of Crush Cancer-join her today at to talk about how to crush cancer on…,11
Please remember this: The vast majority of women will not get breast cancer. Your breasts are a…,11
"Did you know? As the only university-based cancer center for nearly 300 miles, Sylvester…",11
Celebrated Lucas kicking cancers ass with the best friends… …,11
GREAT NEWS!!!!! JUST FOUND OUT I AM NEVER GETTIG CANCER!!!!!!! #woke @ Key Biscayne,11
Ginger is cancer superbeneficial for all blood types according to #dadamo and his book…,11
Happiest of days to all and if you are dealing with cancer today-put it aside and enjoy the…,11
One of the best things I did after I was officially a cancer survivor was implement juicing in…,11
Christmas charity with cancers donate. Because all is not only martials arts. en…,11
Toldem big up #nicco Jah is great #life #live fight cancer an live bro #prayers up,11
Raising awareness of childhood cancer in #BellasBuick at the Miracle on 136th Street Parade…,11
Relay for life... fight against cancer @ Downtown Doral,11
We’re raising money for pediatric cancer research! #minirelayforlife #icreateNCHS,11
Celebrating Jeannette’s Birthday!!! @ Miami Cancer Institute,11
You need to look within to cure the cancer…she is just highlighting the problems ! #blamegame,3
"My loves before our childhood cancer life begin. Missing these days deeply, life was worry free…",3
"#Cancer Support Services now outgrowing its headquarters in #Belmont Rd, their 2nd PSA Screening…",3
"Waiting to see oncologist with my dad. Need answers. (@ UM Sylvester Cancer Center in Miami, FL)",3
AIDS : Botswana Clinic Offers Lessons for Cervical Cancer Care With Limited Resources,3
Thank you God for continuing to answer our prayers! Our baby girl is 806 days CANCER FREE! We…,3
Sessions and Trump need to resign...TODAY!!!!! @ Sylvester Comprehensive Cancer Center,3
"Pre meds are flowing! (@ Mount Sinai Cancer Center in Miami Beach, FL)",3
"Cleared for treatment! Warm blanket, Xanax washed down with a hot chocolate! (@ Mount Sinai Cancer Center)",3
"I'm at Mount Sinai Cancer Center in Miami Beach, FL",3
#Stigmabase | AM - New study aims to better understand major factors affecting African American cancer survivors -…,2
#Stigmabase | AM - New study aims to better understand major factors affecting African American cancer survivors -…,2
#Stigmabase | AM - New study aims to better understand major factors affecting African American cancer survivors -…,2
I did it! My first radio interview!! you can hear it on my Facebook page (Mama Bear Cancer…,2
On February 11th I participated on the Dolphin Cancer Challenge… …,2
#Cancer's have a very emotional desire in a relationship,2
They will be the ones to end childhood cancer! #WeAreTheGAlvarezFam #thankheavenforlittlegirls…,2
Thanks to for an amazing demo and for the cancer support #sobewff @ South Beach Wine…,2
"10,000 lives saved Dr.Patel's International Cancer Foundation Brunch @ Versace Mansion, South…",2
Helping raise donation for cancer with my little photo booth contraption. @ FIU Relay for Life…,2
The Rol of General Dentist in Oral Cancer Detection #EducationFirst… …,2
AIDS : HIV patients 'free of virus' after trial using unusual drug cocktail including cancer medicine to 'flush ...,2
AIDS : HIV patients 'free of virus' after trial using unusual drug cocktail including cancer medicine to 'flush ...,2
AIDS : HIV patients 'free of virus' after trial using unusual drug cocktail including cancer medicine to 'flush ...,2
Off Work Drinks Music Lounging & Dancing Stress Free With Your Cancer Twin...…,2
"Eating 10 portions of fruit and vegetables day could significantly reduce risk of heart attack, stroke and cancer …""",2
"AIDS : Tripura faced challenge due to growth of Cancer, HIV",2
"AIDS : Tripura faced challenge due to growth of Cancer, HIV",2
"AIDS : Tripura faced challenge due to growth of Cancer, HIV: The Tripura government faced a challenge with the…",2
Mom's heartbreaking post about son's cancer pain goes viral,2
"Port draw! (@ Mount Sinai Cancer Center in Miami Beach, FL)",2
Como siempre los Knights recorriendo el mundo =D #mexico… …,2
#Cancer's are generous givers and humble and grateful receivers....,2
AIDS : New model of cervical cancer care reduces delay between diagnosis and treatment: Limited access to…,2
AIDS : New model of cervical cancer care reduces delay between diagnosis and treatment,2
AIDS : New model of cervical cancer care reduces delay between diagnosis and treatment,2
Nirvana @ Tropic Of Cancer Beach Little Exuma,2
AIDS : Smoking cessation reduces risk of cancers in people with HIV; lung cancer most stubborn,2
AIDS : Smoking cessation reduces risk of cancers in people with HIV; lung cancer most stubborn: SEATTLE — Just 1…,2
AIDS : Smoking cessation reduces risk of cancers in people with HIV; lung cancer most stubborn,2
Last night pink party. Bringing awareness to breast cancer. MISSED!!! #professionalrelaxation…,9
"I'm at UM Sylvester Cancer Center in Miami, FL pic.twitter.com/pZE8Le4uWK",8
The man at the center of this photo lost his battle with cancer… …,8
"September is Childhood Cancer Awareness Month Friends, in support of our commitment and efforts…",8
