tweet_text,month_of_tweet
WAHAHAHAHAHAHAHAHAHAHA I may not be able to cure cancer but I sure can do pivot tables now!!!,4
""" Submit abstracts by 17 April to take part in The Lancet Summit: COPD and Lung Cancer. …""",4
"MWIN - India has over 10 million cancer patients - India is a country with over 10 million cancer patients, data…",4
At Nepal Cancer Hospital @ Nepal Cancer Hospital & Research Center,4
The Tropic of Cancer #tropicanathemusical #techtime @ Capitol Theatre,4
"10:40 // Spread the love, spread the smile, spread the positive vibes. Fight for cancer! …",4
"Drink green tea daily to help protect against cancer, heart disease and memory loss, as well as…",4
#Stigmabase | IN - India has over 10 million cancer patients - India is a country with over 10 million cancer…,4
Good morning @ Kuwait Cancer Control Center KCCC,4
I'm at Kuwait Cancer Control Centre,4
Let's rock n roll! #cancerinspiration #cancerfighter @ National Cancer Centre Singapore,4
I'm at Kuwait Cancer Control Centre,4
#صباح_الحب @ Kuwait Cancer Control Center KCCC,4
"Protect yourself from exposure to the sun's rays and reduce your risk of sunburn, skin cancer,…",4
"Hospital says Vinod Khanna is stable, after viral photo sparks cancer rumours … via",4
Let's get FIT! colorectal cancer awareness campaign… …,4
Celebrating life with our friends at the Singapore Cancer Society this evening. On behalf of…,4
"Dear Sir - Please help for Compensation Job in DELHI TOURISM, My mother is hospitalized, she is Suffering from Cancer,I am Jobs les this tym",4
Great collaborative meeting with South West CDC team on cancer… …,4
"Recognize him? Actor Vinod Khanna, suffering from bladder cancer.… …",4
Throughout everything #7 #herseptin #cancersurvivor.. (at National Cancer Centre) —,4
"AC Room near KMCT College and NIT Calicut Campus and MVR CANCER Centre,&amp; Dayapuram Institutions.#1Bedroom",4
Let's fight against #Cancer #IACTutorial2017 #MSOC #Cytology @ Renaissance Kuala…,4
"Near N.I.T Calicut, MVR Cancer centre Vellalashery, IIMA Calicut, Dayapuram &amp; KMCT institutions #2BHK #Flat",4
At Mount Miriam Cancer Hospital [pic] —,4
Good morning @ Kuwait Cancer Control Center KCCC,4
"u r so sweet I always pray fr u, the way u fight with cancer bravely. May God bless u with happiness and health",4
(at National Cancer Centre) —,4
"Turmeric has over 9,000 studies and they say... … #Turmeric is potentially the best herb to fight #Cancer and ... pic.twitter.com/GCii22dpcx",4
Mom & Nanu #Family #Love #Yesturday #Life #Smile #Happy #Instagram #Snapchat @ Cancer Hills,4
I'm at National Cancer Society of Malaysia in Kuala Lumpur,4
Stunning Sonali Bendre in abujanisandeepkhosla for Cancer Patients Aids Association. #Bollywood…,4
"HCG BHIO... 25y old Cancer Hospital of Mysore #5amshoot @ Mysore, Karnataka",4
With friend from National Cancer Society Malaysia! @ Yan Palace… …,3
"jee, My wife suffering with Cancer. Passport RENEWAL due June2017. Cannot attend in person. Pl.Allow Online",3
Paris trained dogs r able to sniff out cancer from shirt piece of women. A great find saving lakhs of $. Great for the poor.,3
Last day of rotation (@ Kuwait Cancer Control Centre),3
War on Cancer! #economist @ One Farrer Hotel & Spa …,3
MWIN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting women in the…,3
#Stigmabase | IN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting…,3
Love is like cancer ... it comes without an invitation and it kills us and leaves @ Somerset M…,3
Succesfully finished the seminar.. Job well done guyss.. #JOM Kick Cancer! @ Medical Faculty…,3
"Manjuri, 60, lost her husband to cancer in their village Gogwan in Western Uttar Pradesh. Two…",3
I'm not a suspected lymph node cancer or tuberculosis patient anymore @ Hospital Shah Alam,3
Asia Pacific Cancer Control Leadership Forum @ Orchard Hotel Singapore …,3
Mount Everest for Cancer! In support of… …,3
Really proud to go and hike together with all these cancer survivors from PRIDE @ UMMC group.…,3
"Afzaal, 45, died of cancer in his village Gogwan in Western Uttar Pradesh. Two years ago, state…",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Dear PM this 5 year old child is suffering from CANCER. If possible please help him. He is in hospital at present. pic.twitter.com/4X4mwZjtkq,3
I'm at Kuwait Cancer Control Centre,3
#singaporecancersociety Staff training! @ Singapore Cancer Society …,3
#Crochet for #Children who've survived #Cancer - that was Project Crochet: Resilience Against…,3
"kya hum log Gutkha aur pan masala band kar sakte hai, this cancer industry should be closed once and for ever",3
#healthydinnermeeting @ Singapore Cancer Society Rehabilitation Centre …,3
Many thanks to the Nursing Department at the National Center for Cancer Care and Research…,3
I'm at Kuwait Cancer Control Centre,3
Skin cancer conference! @ Matrix,3
The last time I did a game was a couple years ago before I was diagnosed with cancer. After…,3
Mayawati is cancer for society. After big zero still playing cast hate. By telling that brahmin society is downgraded by swearing a Rajput,3
"No good. (@ Clinic C, National Cancer Centre Singapore in Singapore)",3
"I'm at Breast Cancer Welfare Association in Petaling Jaya, Selangor",3
Spinach is abundant in flavonoids with anti-cancer properties that protect body from free…,3
"& taking part in the second annual ""Pink Day"" cancer awareness… …",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
plot near cancer hospital wardha road #Jamtha #ResidentialPlot #Land #ForSale #Nagpur #Residential #Property,3
"Science, slowly catching up with the nature. History of Cancer is truly fascinating. From ""The…",3
Lunch with (cancer) doctors! Should be quite safe (diet) right! …,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
By #htcm9plus @ King Fahad National Center for Children's Cancer and… …,3
Rise against #cancer #IndianCancerSociety concert by #ustadamjadalikhan @ Kamani Auditorium,3
Guess who got the cut on #hairtohelp #hairdonationdrive for Cancer… …,3
At King Fahad National Childrens Cancer Center —,3
Waiting list... #cancersurvivor (at National Cancer Centre) —,3
Bacterias of cancer …,3
Ur generation could be the first generation on earth tht goes through life with a completely different understanding f cancer as preventable,3
' What's so brave about being bald? I've not fought for my country or found the cure for cancer…,3
skip ♫ Cancer by twenty one pilots (at Perumahan Villa Mas) —,3
The beauty of it is this story: This uncle had 4th stage cancer and can't walk before this. He…,3
TODAY! Watch Asia's top female bar talent battle it out while raising money for breast cancer…,3
I'm at Kuwait Cancer Control Centre,3
Task 83-Cancer kid camps Drawing competition to cancer kids! #task83 #mission500…,3
"Miumiu's condition is getting worse everyday, her cancer tumour is… …",3
"I hosted National Cancer Society of Malaysia (#NCSM) Luncheon for Professor Sanchia Aranda, UICC…",3
Ongoing Research on Cancer at #RIBBpic.twitter.com/m8muVCHmsI,3
"When the viability of cancer Biospecimens trump your social life. Thanks again, _aim_hehe",3
#tropicofcancer #RoyalLove #royalenfield @ Tropic Of Cancer …,3
I'm at Kuwait Cancer Control Centre,3
If skin-cancer and pneumonia isn't enough... I now got lumps in my man-boobs...…,3
"มา present cancer immunotherapy (@ Chamchuri 4 Building in Pathum Wan, Bangkok)",3
It's not too late to donate to U of DELAWARE Dance Marathon for children with cancer! For years…,3
The Enchanted Forest collect by for Cancer Patients Aids Association.…,3
I'm at Kuwait Cancer Control Centre,3
#مساء_الحب #مساء_النور @ Kuwait Cancer Control Center KCCC,3
"MWIN - No evidence to show cellphone tower radiation causes cancer - The World Health Organization (WHO), on the…",3
"Hey, drop by our Breast Cancer Awareness Booth today Wear Pink to show your support #NUWearItPinkpic.twitter.com/Txt4sTXFME",3
I hate #cancer @ Asia/Kuwait …,5
"LIKE EVERYTHINKS IS END,THE SYSTEM LIKE A CANCER,AND HOPE,PRAY TO GOD FOGIVE US,YOUTH KO BRIGHT FUTURE K HOPE,5",5
For sure @ Kuwait Cancer Control Center KCCC,5
"my Papa is on recovery, his #Cancer Operations was successful, thanks for not helping Sir pic.twitter.com/HFtCj6ekge",5
At National Cancer Centre —,5
Brilliant lecture by Dr Naif Al-Mutawa @ Kuwait Cancer Control Center KCCC,5
Good morning @ Kuwait Cancer Control Center KCCC,5
#صباح_الخير @ Kuwait Cancer Control Center KCCC,5
At Mount Miriam Cancer Hospital —,5
Biotech company raises $360 million for cancer-detecting blood test,5
"Today, World Mother's Day, let us spread awareness on cancer prevention amongst those women who are most precious in our lives-our mom's. pic.twitter.com/9rSDuzkh7f",5
@ Kuwait Cancer Control Center KCCC,5
"Chai For Cancer, is now trending in #NewDelhi pic.twitter.com/O7PI8ncqXM",5
"Chai For Cancer, is now trending in #Mumbai pic.twitter.com/fhlZaEaMTB",5
Why Chai for Cancer ? It was with a heavy heart the team decided to close his case . We hadn't…,5
Please give me a chance to be a doctors cancer. Insya Allah #like #like4like #TFLers #liker…,5
Research shows that pomegranate can help to destroy cancer cells without affecting the cells…,5
"KMCT Medical College, MVR Cancer Centr, NIT C Calicut, Dayapuram, IIMA are very near to this #Flat. #1BHK #Flat",5
Today's visit to Kuwait's Cancer Control Center lecturing about Strength & Healthy Lifestyle…,5
"I'm at National Cancer Institute in Ratchathewi, Bangkok",5
Why Chai for Cancer ? The little boy who usually would be full of good cheer when he visited…,5
YOAM Childhood Cancer Survivor -- @ Narsis Digital Printing,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
Good morning @ Kuwait Cancer Control Center KCCC,5
Feeling really emotional when my good friend's brother is diagnosed with end stage liver cancer.…,5
MWIN - Cancer Ravages Health As Well As Personal Resources In India - Delivery of affordable and equitable cancer…,5
"MWIN - Healthy lifestyle can help you cut colorectal cancer risk - People who smoke cigarettes, exercise less, and…",5
#cancer is now trending in Malaysia pic.twitter.com/Zpl69Fm5oK,5
Just posted a photo @ Kuwait Cancer Control Center KCCC,5
