tweet_text,month_of_tweet
"'khiladi', 'leukemia' & 'receipts' are now trending in India",9
Saw some cheerleaders doing the acrobatic routine at sentosa for the Leukemia and Lymphoma…,6
"For Every fight won, for each battle lost. For admiring Leukemia Fighters. #supportandpray…",6
Poor Cuervo leukemia first chemo #Cats #Thailand #Expat #Trang @ Trang,4
""" FDA approves medicine for people with hard-to-treat type of chronic lymphocytic leukemia: $RHHBY $ROG""",4
"We've got third world countries, little kids with leukemia, while the poor get poorer and the rich get greedier #amwriting #poem #poetry",1
"This girl aged 5 is diagnosed with leukemia.. Due to her condition, she is unable to do normal…",10
""" #Immunotherapy shows impressive study results in patients with advanced #leukemia """,5
#realfamily #supportgroup #leukemia #CML #GIST #nationalanthem #janaganamana We always begin…,5
#dhakadiaries #dhaka #CML #advocate #leukemia #supportgroup #southasia Watching Sohag and his…,4
"Im terribly shock when heard you passed away cause leukemia, i still remembered when the first…",10
3 years ago at Lumbini where Bouddha birth and 4 years after Leukemia #nepal #lumbini #boudha…,10
"'parody', 'donors' & 'leukemia' are now trending in #Singapore",9
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
Novartis says 82 percent of leukemia patients in remission after CAR-T via Excellent.all the best.,12
Bloodlust. #blood #leukemia #cancer #like4like #haematology #sgh #likeforlike #instagood…,12
#Researchpreneur #ScienceAlertsNew Gene Treatment Effective for Some Leukemia Patients… … #FollowBackpic.twitter.com/jNJgHR53jf,11
