tweet_text,month_of_tweet
13 y old Lana from Nablus is fighting leukemia in the department and… …,1
""" FDA approves medicine for people with hard-to-treat type of chronic lymphocytic leukemia: $RHHBY $ROG""",4
3 years ago at Lumbini where Bouddha birth and 4 years after Leukemia #nepal #lumbini #boudha…,10
DESIGNER—A MAN WHO HAS DONE SOMETHING FOR YOU TO JOIN THE TEAM AT THE FEET OF CHEERLEADER BATTLING LEUKEMIA—I BELIEVE THAT THE TRUTH #ASKKE…,9
"'khiladi', 'leukemia' & 'receipts' are now trending in India",9
"When a stage 4 leukemia Cancer Fighter, Beater and Winner takes a #boss photo…",7
Thx to Mayor and kemal_saracoglu_vakfi foundation that support kids with leukemia and…,10
"This girl aged 5 is diagnosed with leukemia.. Due to her condition, she is unable to do normal…",10
#realfamily #supportgroup #leukemia #CML #GIST #nationalanthem #janaganamana We always begin…,5
#dhakadiaries #dhaka #CML #advocate #leukemia #supportgroup #southasia Watching Sohag and his…,4
Novartis says 82 percent of leukemia patients in remission after CAR-T via Excellent.all the best.,12
""" #Immunotherapy shows impressive study results in patients with advanced #leukemia """,5
Warriors welcome 8-year-old leukemia patient …pic.twitter.com/dFgdGt7Ytp,4
#Researchpreneur #ScienceAlertsNew Gene Treatment Effective for Some Leukemia Patients… … #FollowBackpic.twitter.com/jNJgHR53jf,11
