tweet_text,month_of_tweet
""" Submit abstracts by 17 April to take part in The Lancet Summit: COPD and Lung Cancer. …""",4
"MWIN - India has over 10 million cancer patients - India is a country with over 10 million cancer patients, data…",4
At Nepal Cancer Hospital @ Nepal Cancer Hospital & Research Center,4
"Drink green tea daily to help protect against cancer, heart disease and memory loss, as well as…",4
#Stigmabase | IN - India has over 10 million cancer patients - India is a country with over 10 million cancer…,4
I'm at King Hussein Cancer Foundation in Amman,4
"Hospital says Vinod Khanna is stable, after viral photo sparks cancer rumours … via",4
"Dear Sir - Please help for Compensation Job in DELHI TOURISM, My mother is hospitalized, she is Suffering from Cancer,I am Jobs les this tym",4
"Recognize him? Actor Vinod Khanna, suffering from bladder cancer.… …",4
Scientific day. Conference Updates in colorectal cancer #instadaily #scientific #day…,4
"AC Room near KMCT College and NIT Calicut Campus and MVR CANCER Centre,&amp; Dayapuram Institutions.#1Bedroom",4
"Near N.I.T Calicut, MVR Cancer centre Vellalashery, IIMA Calicut, Dayapuram &amp; KMCT institutions #2BHK #Flat",4
Grand National 2017: Bradley Lowery allocated 41st runner in touching tribute to help his fight against cancer pic.twitter.com/gyrI8cyIqC,4
Day to battle emotions at Augusta amid mother's cancer fight …pic.twitter.com/eM9X0vmOMW,4
Leicester City surprise for US cancer teen …pic.twitter.com/vkZFbNTqYB,4
"u r so sweet I always pray fr u, the way u fight with cancer bravely. May God bless u with happiness and health",4
Mom & Nanu #Family #Love #Yesturday #Life #Smile #Happy #Instagram #Snapchat @ Cancer Hills,4
Stunning Sonali Bendre in abujanisandeepkhosla for Cancer Patients Aids Association. #Bollywood…,4
"HCG BHIO... 25y old Cancer Hospital of Mysore #5amshoot @ Mysore, Karnataka",4
"jee, My wife suffering with Cancer. Passport RENEWAL due June2017. Cannot attend in person. Pl.Allow Online",3
Paris trained dogs r able to sniff out cancer from shirt piece of women. A great find saving lakhs of $. Great for the poor.,3
Rio Ferdinand receives outpouring of support after emotional documentary about wife's death from cancer pic.twitter.com/OtC3IDpaD9,3
MWIN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting women in the…,3
#Stigmabase | IN - The Universal Immunization Program: Facts and Impacts - One of the top three cancers affecting…,3
"After her own breast cancer diagnosis, Christina Applegate founded Right Action for Women, an…",3
"Manjuri, 60, lost her husband to cancer in their village Gogwan in Western Uttar Pradesh. Two…",3
I'm at King Hussein Cancer Foundation in Amman,3
"Afzaal, 45, died of cancer in his village Gogwan in Western Uttar Pradesh. Two years ago, state…",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Dear PM this 5 year old child is suffering from CANCER. If possible please help him. He is in hospital at present. pic.twitter.com/4X4mwZjtkq,3
"kya hum log Gutkha aur pan masala band kar sakte hai, this cancer industry should be closed once and for ever",3
". Breast Cancer Awareness Campaign Oct,17, 2016 @ Jordan… …",3
Rio Ferdinand opens up about his wife's death from breast cancer pic.twitter.com/kmOGWLJM7Y,3
"Meet Layth, a great boy at the King Hussein Cancer Center. He is as much my child as my children are #MothersDaypic.twitter.com/8tgAgsSbB0",3
"One year ago today #cancer stole this beautiful boy from his family, from his mom, his dad and…",3
Mayawati is cancer for society. After big zero still playing cast hate. By telling that brahmin society is downgraded by swearing a Rajput,3
Gm (@ King Hussein Cancer Center Early Detection),3
It was great seeing amazing zins participating at the Zumbathon for Children Cancer Center…,3
Spinach is abundant in flavonoids with anti-cancer properties that protect body from free…,3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
plot near cancer hospital wardha road #Jamtha #ResidentialPlot #Land #ForSale #Nagpur #Residential #Property,3
"Science, slowly catching up with the nature. History of Cancer is truly fascinating. From ""The…",3
"Video clip of my weekly photo learning session with cancer children at paediatric ward of TMH,…",3
Joe Thompson: Rochdale midfielder diagnosed with cancer for second time …pic.twitter.com/q1jxbxoKDH,3
#GoodNewsIn5Words I survived chronic liver cancer,3
Rise against #cancer #IndianCancerSociety concert by #ustadamjadalikhan @ Kamani Auditorium,3
Bacterias of cancer …,3
Ur generation could be the first generation on earth tht goes through life with a completely different understanding f cancer as preventable,3
' What's so brave about being bald? I've not fought for my country or found the cure for cancer…,3
Task 83-Cancer kid camps Drawing competition to cancer kids! #task83 #mission500…,3
Ongoing Research on Cancer at #RIBBpic.twitter.com/m8muVCHmsI,3
#tropicofcancer #RoyalLove #royalenfield @ Tropic Of Cancer …,3
"มา present cancer immunotherapy (@ Chamchuri 4 Building in Pathum Wan, Bangkok)",3
It's not too late to donate to U of DELAWARE Dance Marathon for children with cancer! For years…,3
The Enchanted Forest collect by for Cancer Patients Aids Association.…,3
"MWIN - No evidence to show cellphone tower radiation causes cancer - The World Health Organization (WHO), on the…",3
"Meet the Staff of this Cancer Hospital in Silchar , Assam . Cannot see a more dedicated and…",1
"A 21 year old girl is fighting blood cancer in Shifa Hospital, Islamabad. Blood of all group types needed urgently. Contact: +92 340 1540665",1
One extremely satisfying and productive morning session training volunteers in cancer care from…,1
My #RepublicDay Ensemble in India's colours . On my way to a Board Meeting of a Cancer NGO…,1
MWTH - Report stresses Chinese need for enhanced cancer drug innovation and access - The R&D Based Pharmaceutical…,1
#Stigmabase | TH - Report stresses Chinese need for enhanced cancer drug innovation and access - The R&D Based…,1
"MWIN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer was not…",1
"MWIN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and Children Sub…",1
"Caution:drinking is injurious to health It causes liver cancer @ Dhaka, Bangladesh",1
"I'm at National Cancer Institute in Ratchathewi, Bangkok",1
Just posted a photo @ King Hussein Cancer Center,1
"ตาจ๋าหายแล้ววววว (@ National Cancer Institute in Ratchathewi, Bangkok)",1
#rajasthan k #yuvraj #cancer #survivor #inspiration #story of #saurabh from #Jaipur -…,1
Beast cancer form... not expensive cost! Made from silicones medical for hospitals.…,1
This going to kill cancer... @ Siam Paragon | สยามพารากอน,1
"#Stigmabase | IN - Dear men, work-related stress may cause cancer - A link between work-related stress and cancer…",1
yuvstrong12 paajee has Defeated Cancer. I am sure he Can Defeat Anyone In The World whether they… …,1
"I'm at National Cancer Institute in Ratchathewi, Bangkok",1
"#Stigmabase | IN - 150 women government employees screened for cancer - Vinisha Nero, MLA, Chairman of Women and…",1
"Only £150 sponsorship donation to reach £5,000 for Teenage Cancer Trust …",1
"I'm at National Cancer Institute in Ratchathewi, Bangkok",1
""" warns #patients not to use PNC-27 #Products for #treatment of #cancer …""",1
finetissues launching #the_land_of_heros campaign to support #Jordan and kids of cancer in…,1
Apply #ComputerVision to improve lung cancer detection … by,1
""" Cannabis oil destroys cancer cells. Vitamin B17 destroys cancer cells. Yet, both are banned by the FDA.""",1
World Health Organization & National Cancer Institute's report – “The Economics of Tobacco and Tobacco Control” – : .pic.twitter.com/vAlAQJVnKh,1
"Blue Dart Centre for cancer kids (@ Bombay Port Trust Road in Mumbai, Maharashtra)",1
I understand.. I lost my dad to horrible cancer a few years back. .I still miss him,1
"Wolf Moon :: Cancer Full Moon Hey Lunatics, yearning for something outrageously magical to…",1
A cancer patient wear her mask during a Cancer Awareness event in Mumbai. #destination27…,1
"I'm at Udon Thani Cancer Hospital in Mueang Udon Thani, Udon Thani",1
MWIN - US cancer death rate drops 25% since 1991 - Although cancer death rates in general remained 15% higher…,1
